player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Andre Sam,89166,S,MARSHALL,10,333,0,214,2,8.9,33.3,92.7,19.2,6.4,0,4,26.7,71.9,0,8,41.7,5,4,42.4,5,101,30.3,109,2,5,15,0,29,14,0.3,5.8,0,3,9.0,57.1,99.4,13.6,7.8,0,1,4.8,53.4,0,63,15.8,3,0,104.3,12,172,51.7,173,6,13,21,1,195,110,1.2,16.3
Ronald Kent,89178,CB,C MICHIGAN,12,421,0,134,0,13.5,41.9,96.9,13.9,5.8,2,9,29.0,75.9,0,28,9.1,1,6,76.8,13,190,45.1,196,3,10,31,2,136,55,0.8,10.5,0,1,6.6,77.8,100.0,7.3,5.7,1,2,7.4,70.5,0,28,14.3,3,2,93.8,21,161,38.2,161,5,17,27,0,176,75,1.2,8.4
Jack Blanco,89458,S,BALL ST,3,62,0,117,0,,,90.0,,,0,0,,63.8,0,,,0,0,0.0,0,9,14.5,10,0,0,0,0,0,0,0.0,,0,4,7.0,100.0,97.7,13.3,13.3,0,0,0.0,56.7,0,18,0.0,0,0,109.7,3,42,67.7,43,0,2,3,0,31,10,0.8,10.3
Clayton Isbell,89459,S,UTAH,8,84,0,328,0,5.5,100.0,96.8,12.0,12.0,0,0,0.0,50.4,0,38,0.0,0,0,158.3,2,30,35.7,31,0,1,2,1,39,37,1.6,19.5,0,0,21.0,100.0,100.0,23.0,23.0,1,0,0.0,52.5,0,45,25.0,1,0,118.8,2,47,56.0,47,1,3,2,0,50,8,1.1,25.0
David Reese,90079,ED,FLORIDA,12,6,0,163,0,,,11.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,16.7,9,0,0,0,0,0,0,0.0,,0,0,-5.0,0.0,33.3,,4.0,0,0,0.0,62.0,0,,,0,0,39.6,0,5,83.3,15,0,0,1,0,0,0,0.0,
Abdul-Lateef Audu,90088,CB,HOUSTON,7,110,0,182,0,11.3,66.7,100.0,5.3,3.6,0,0,0.0,53.4,0,33,20.0,1,0,125.7,6,39,35.5,39,1,4,9,1,67,5,2.1,11.2,0,1,20.8,50.0,100.0,28.0,14.0,0,1,25.0,75.9,0,17,12.5,1,1,63.5,2,57,51.8,57,1,6,4,0,19,6,0.3,9.5
Chance Tucker,90524,CB,NOTRE DAME,1,2,0,258,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.9,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,
Riley Sharp,90868,ED,OREGON ST,12,57,0,265,0,,,10.0,,,0,0,,63.2,0,,0.0,0,0,0.0,0,5,8.8,50,2,1,0,0,0,0,0.0,,0,2,-3.0,100.0,39.8,14.3,14.3,0,0,0.0,54.9,0,4,16.7,1,0,80.6,3,45,78.9,113,4,3,3,0,10,19,0.2,3.3
Andrew Choi,90947,ED,HAWAII,13,4,0,180,1,-6.0,100.0,4.0,4.0,4.0,0,0,0.0,64.1,0,1,66.7,2,0,79.2,1,4,100.0,100,1,0,1,0,1,7,0.3,1.0,0,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,128,1,1,0,0,0,0,,
Vince Sanford,90952,ED,AIR FORCE,11,41,0,101,2,2.5,50.0,9.0,6.0,3.0,0,1,50.0,80.4,0,-1,25.0,1,0,56.3,1,7,17.1,78,3,1,2,0,-1,5,-0.2,-1.0,0,1,1.8,100.0,19.7,6.0,6.0,0,0,0.0,62.1,0,13,0.0,0,0,95.8,5,31,75.6,157,3,2,5,0,35,26,1.2,7.0
TD Blackmon,90953,LB,AIR FORCE,12,238,0,101,0,1.0,80.0,71.9,14.5,11.6,0,1,20.0,59.7,0,42,50.0,1,0,112.5,4,64,26.9,89,2,1,5,0,55,62,0.9,13.8,0,7,3.4,70.6,88.2,12.3,8.6,2,2,11.8,90.4,0,18,0.0,0,2,74.4,12,150,63.0,170,7,11,17,0,55,51,0.4,4.6
Declan Carr,91085,LB,NWESTERN,1,7,0,256,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,83.3,,,0,0,,62.1,0,,,0,0,0.0,0,5,71.4,6,0,0,0,0,0,0,0.0,
Brodric Martin,91288,DI,W KENTUCKY,13,2,0,346,1,,,0.0,,,0,0,,61.5,0,,0.0,0,0,0.0,0,0,0.0,44,0,0,0,0,0,0,,,0,0,,,1.3,,,0,0,,63.3,0,,0.0,0,0,0.0,0,2,100.0,160,3,2,0,0,0,0,0.0,
